timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778039503590,192,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-30,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,185,0,130
1778039503132,650,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-7,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,643,0,590
1778039503251,531,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-13,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,531,0,468
1778039503352,430,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-18,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,425,0,371
1778039503114,668,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-4,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,667,0,606
1778039503114,668,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-5,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,663,0,606
1778039503550,232,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-28,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,226,0,173
1778039503331,451,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-17,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,447,0,391
1778039503114,668,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-6,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,665,0,609
1778039503491,291,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-25,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,288,0,228
1778039503114,668,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-3,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,664,0,607
1778039503410,372,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-21,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,368,0,311
1778039503291,491,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-15,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,487,0,429
1778039503430,352,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-22,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,348,0,292
1778039503191,591,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-10,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,586,0,532
1778039503391,391,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-20,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,384,0,333
1778039503611,171,https://parabank.parasoft.com/parabank/login.htm,429,Too Many Requests,Thread Group 1-31,text,false,,471,613,39,39,https://parabank.parasoft.com/parabank/login.htm,170,0,117
